ts_iso,level,old_lac,new_lac,wa,ops,wa_rate,ops_rate,score,level_weight,target_bytes,iops_from,iops_to
2026-01-01 15:00:36,0,4,10,0.982624,662004.000000,0.000000,0.000000,0.188571,0.600000,17421498,medium,medium
2026-01-01 15:00:36,1,4,8,0.993458,945838.000000,0.000000,0.000000,0.251429,0.800000,75401670,medium,medium
2026-01-01 15:00:36,0,10,1,0.976258,368002.000000,0.000000,0.000000,-0.120000,0.600000,8388608,medium,low
2026-01-01 15:00:36,1,8,2,0.977682,542035.000000,0.000000,0.000000,-0.022857,0.800000,21733855,medium,low
2026-01-01 15:00:37,0,1,5,0.975567,496033.000000,0.000000,0.000000,0.600000,0.600000,14883176,low,medium
2026-01-01 15:00:37,1,2,3,0.968699,538212.000000,0.000000,0.000000,0.800000,0.800000,35766262,low,low
2026-01-01 15:00:37,0,5,3,0.972398,500225.000000,0.000000,0.000000,0.137143,0.600000,14127422,medium,medium
2026-01-01 15:00:38,1,3,10,0.960961,580864.000000,0.000000,0.000000,0.800000,0.800000,140711784,low,low
2026-01-01 15:00:38,0,3,8,0.972410,580867.000000,0.000000,0.000000,0.600000,0.600000,19370439,medium,high
2026-01-01 15:00:39,1,10,3,0.957879,556875.000000,0.000000,0.000000,-0.160000,0.800000,54300400,low,low
2026-01-01 15:00:39,0,8,10,0.972323,556876.000000,0.000000,0.000000,-0.017143,0.600000,21466606,high,medium
2026-01-01 15:00:40,1,3,5,0.956058,571290.000000,-0.005102,-0.016482,0.800000,0.800000,79604560,low,low
2026-01-01 15:00:40,0,10,8,0.971822,571291.000000,-0.004544,0.552413,0.480000,0.600000,19363793,medium,high
2026-01-01 15:00:41,1,5,10,0.954238,566218.000000,0.000000,0.000000,0.182857,0.800000,166277430,low,low
2026-01-01 15:00:42,0,8,4,0.972017,566221.000000,-0.000315,0.016781,0.582857,0.600000,15171691,high,high
2026-01-01 15:00:43,1,10,8,0.953367,571712.000000,-0.004710,0.026643,0.640000,0.800000,101619409,low,low
2026-01-01 15:00:43,0,4,6,0.972222,571712.000000,-0.010586,-0.136392,0.188571,0.600000,11781310,high,high
2026-01-01 15:00:44,1,8,3,0.952510,567383.000000,-0.025747,0.046765,0.777143,0.800000,46813709,low,low
2026-01-01 15:00:44,0,6,4,0.971574,567390.000000,0.000000,0.000000,0.085714,0.600000,9782628,high,high
2026-01-01 15:00:44,1,3,3,0.945883,269567.000000,-0.007872,-0.272313,0.800000,0.800000,18683393,low,low
2026-01-01 15:00:46,1,3,2,0.951808,301303.000000,-0.003160,-0.142299,0.703089,0.800000,33554432,low,low
2026-01-01 15:00:46,0,4,6,0.972333,570861.000000,-0.005236,-0.068940,0.182063,0.600000,11781937,high,high
2026-01-01 15:00:46,1,2,2,0.951300,389413.000000,-0.017961,-0.276469,0.800000,0.800000,20642538,low,low
2026-01-01 15:00:47,1,2,3,0.951234,176362.000000,-0.009015,-0.411789,0.401542,0.800000,45902143,low,low
2026-01-01 15:00:47,0,6,8,0.971936,565776.000000,0.000373,-0.002845,-0.514286,0.600000,13876847,high,high
2026-01-01 15:00:48,1,3,5,0.950895,534828.000000,-0.001779,0.121546,0.980835,0.800000,49349455,low,medium
2026-01-01 15:00:48,0,8,5,0.964626,579104.000000,-0.003959,0.019767,0.582857,0.600000,14019045,high,high
2026-01-01 15:00:49,1,5,10,0.956053,568952.000000,0.001902,0.004829,0.182857,0.800000,129209886,medium,medium
2026-01-01 15:00:50,1,10,8,0.917701,946.000000,-0.021061,-0.485851,-0.160000,0.800000,105159608,medium,low
2026-01-01 15:00:50,0,5,3,0.968687,525647.000000,-0.003817,0.050821,0.737143,0.600000,9299355,high,medium
2026-01-01 15:00:51,1,8,4,0.945104,605382.000000,-0.016761,0.056868,0.497945,0.800000,51512808,low,medium
2026-01-01 15:00:51,0,3,4,0.960851,605499.000000,-0.011887,0.042406,1.200000,0.600000,13606151,medium,high
2026-01-01 15:00:52,1,4,4,0.950145,562807.000000,-0.043598,-0.404965,0.251429,0.800000,53181375,medium,medium
2026-01-01 15:00:53,1,4,3,0.907217,932.000000,-0.044389,-0.701654,0.251429,0.800000,47066545,medium,low
2026-01-01 15:00:53,0,4,8,0.972248,563596.000000,-0.003520,-0.050202,0.167223,0.600000,19368610,high,high
2026-01-01 15:00:54,1,3,4,0.956034,570354.000000,0.003570,0.319735,0.800000,0.800000,43035788,low,medium
2026-01-01 15:00:54,0,8,5,0.972523,570352.000000,0.000090,0.008140,-0.370055,0.600000,16225992,high,high
2026-01-01 15:00:55,1,4,4,0.954487,567922.000000,-0.012225,202.318353,0.471749,0.800000,47082293,medium,medium
2026-01-01 15:00:56,0,5,8,0.972826,567928.000000,0.000228,0.065629,0.137143,0.600000,13881872,high,high
2026-01-01 15:00:56,1,4,9,0.949498,10805.000000,0.000565,202.126350,0.250672,0.800000,134285781,medium,low
2026-01-01 15:00:56,1,9,7,0.963202,0.000000,0.000000,0.000000,-0.091429,0.800000,70278869,low,low
